,loss,accuracy,val_loss,val_accuracy
0,1.5733193159103394,0.4741545617580414,1.192016839981079,0.6257836818695068
1,0.8238252401351929,0.7184159755706787,0.7896408438682556,0.7895768284797668
2,0.5824043154716492,0.7841247320175171,0.6840156316757202,0.7437304258346558
3,0.48845624923706055,0.8097074031829834,0.5520209074020386,0.8691222667694092
4,0.42636942863464355,0.8708603382110596,0.4922099709510803,0.8679466843605042
5,0.3719997704029083,0.9197476506233215,0.454487681388855,0.8824451565742493
6,0.31996870040893555,0.9383213520050049,0.3911677300930023,0.890282154083252
7,0.28034424781799316,0.9488347768783569,0.3833572268486023,0.892241358757019
8,0.25479456782341003,0.9497109055519104,0.35139891505241394,0.9181034564971924
9,0.2339477837085724,0.9546171426773071,0.332494854927063,0.9118338823318481
10,0.21826708316802979,0.9577711820602417,0.3193545639514923,0.9157523512840271
11,0.20875564217567444,0.9579463601112366,0.3151432275772095,0.9094827771186829
12,0.19634221494197845,0.9607499837875366,0.3080287575721741,0.9173197746276855
13,0.18913084268569946,0.9611003994941711,0.30624446272850037,0.9165360331535339
14,0.18379047513008118,0.9626774191856384,0.3074077367782593,0.917711615562439
15,0.17663522064685822,0.963027834892273,0.29988226294517517,0.9181034564971924
16,0.1721469610929489,0.9647800922393799,0.29389694333076477,0.9157523512840271
17,0.16863895952701569,0.9639039635658264,0.29400235414505005,0.9188871383666992
18,0.16459143161773682,0.9642544388771057,0.2922750413417816,0.9145768284797668
19,0.16143403947353363,0.9647800922393799,0.2884184718132019,0.9216300845146179
20,0.15921229124069214,0.965305745601654,0.29799342155456543,0.9149686694145203
21,0.15711000561714172,0.965305745601654,0.2888123691082001,0.922805666923523
22,0.15422770380973816,0.9668827652931213,0.2861084043979645,0.9165360331535339
23,0.15198205411434174,0.9663571119308472,0.2924230694770813,0.919670820236206
24,0.15027554333209991,0.9667075276374817,0.28959640860557556,0.9181034564971924
25,0.14849862456321716,0.9675836563110352,0.28481805324554443,0.919670820236206
26,0.14682933688163757,0.9654809832572937,0.28534623980522156,0.9212382435798645
27,0.14582586288452148,0.9665323495864868,0.2872810363769531,0.9208464026451111
28,0.14507849514484406,0.9672332406044006,0.2847155034542084,0.9200627207756042
