frame,sign,prob
1.0,5.0,0.9978578686714172
2.0,5.0,0.9949380159378052
3.0,5.0,0.9973422884941101
4.0,5.0,0.9981774091720581
5.0,5.0,0.9910982251167297
6.0,6.0,0.9674701690673828
7.0,6.0,0.9971001744270325
8.0,6.0,0.9992871880531311
9.0,6.0,0.9925048351287842
10.0,6.0,0.9991838335990906
11.0,6.0,0.996994137763977
12.0,6.0,0.9994321465492249
14.0,7.0,0.9872740507125854
15.0,7.0,0.9885645508766174
16.0,7.0,0.9903900623321533
17.0,7.0,0.9828280210494995
18.0,7.0,0.9873062372207642
19.0,7.0,0.9866728782653809
20.0,7.0,0.9918910264968872
21.0,7.0,0.9871391654014587
22.0,7.0,0.9898462891578674
23.0,7.0,0.9895175099372864
24.0,7.0,0.9877222180366516
25.0,7.0,0.9874058365821838
26.0,7.0,0.9907230734825134
27.0,7.0,0.9852024912834167
28.0,7.0,0.9912400841712952
29.0,7.0,0.9881492853164673
30.0,7.0,0.9882180094718933
31.0,7.0,0.9873177409172058
