frame,sign,prob
1.0,5.0,0.9960095882415771
2.0,5.0,0.993452787399292
3.0,5.0,0.9948015213012695
4.0,5.0,0.99457848072052
5.0,5.0,0.9964195489883423
6.0,5.0,0.9947484135627747
7.0,5.0,0.9937765598297119
8.0,5.0,0.9922168254852295
9.0,5.0,0.9381327629089355
10.0,6.0,0.9994014501571655
11.0,6.0,0.9999804496765137
12.0,6.0,0.9999778270721436
13.0,6.0,0.9998505115509033
14.0,6.0,0.698276698589325
15.0,7.0,0.8161726593971252
16.0,7.0,0.9775809049606323
17.0,7.0,0.99506676197052
18.0,7.0,0.9975638389587402
19.0,7.0,0.9959306120872498
20.0,7.0,0.9940406680107117
21.0,7.0,0.9965972304344177
22.0,7.0,0.9968704581260681
23.0,7.0,0.9956570863723755
24.0,7.0,0.9954878687858582
25.0,7.0,0.9959277510643005
26.0,7.0,0.9962833523750305
27.0,7.0,0.9967766404151917
28.0,7.0,0.996868908405304
29.0,7.0,0.9959283471107483
30.0,7.0,0.9957314133644104
