frame,sign,prob
1.0,5.0,0.8419427871704102
2.0,5.0,0.951968252658844
3.0,5.0,0.9572873115539551
4.0,5.0,0.9904664754867554
5.0,5.0,0.9883593320846558
6.0,5.0,0.9872404932975769
7.0,5.0,0.9908368587493896
8.0,5.0,0.9862170219421387
9.0,5.0,0.9729251265525818
10.0,5.0,0.9211335778236389
11.0,4.0,0.7890893816947937
12.0,4.0,0.9429745078086853
13.0,4.0,0.9546994566917419
14.0,4.0,0.9612587690353394
15.0,4.0,0.9624658823013306
16.0,4.0,0.9745495915412903
17.0,4.0,0.967825174331665
18.0,4.0,0.9560933113098145
19.0,4.0,0.7114394307136536
20.0,5.0,0.9906269311904907
21.0,5.0,0.9984204769134521
22.0,5.0,0.9978037476539612
23.0,5.0,0.9985621571540833
24.0,5.0,0.9989938139915466
25.0,5.0,0.9988860487937927
26.0,5.0,0.9991426467895508
27.0,5.0,0.9990822076797485
28.0,5.0,0.998960018157959
29.0,5.0,0.999049961566925
30.0,5.0,0.9899805188179016
31.0,6.0,0.8910539150238037
32.0,6.0,0.9993370175361633
33.0,6.0,0.9993959665298462
34.0,6.0,0.9997990727424622
35.0,6.0,0.9998313188552856
36.0,6.0,0.9998382329940796
37.0,6.0,0.9998931884765625
38.0,6.0,0.9998667240142822
39.0,6.0,0.9997854828834534
40.0,6.0,0.4769195318222046
41.0,7.0,0.9514114260673523
42.0,7.0,0.9770997762680054
43.0,7.0,0.9851898550987244
44.0,7.0,0.9863533973693848
45.0,7.0,0.9916293025016785
46.0,7.0,0.989281415939331
47.0,7.0,0.9911544322967529
48.0,7.0,0.9887955188751221
49.0,7.0,0.9897155165672302
50.0,7.0,0.9889035820960999
51.0,7.0,0.987690806388855
52.0,7.0,0.9895444512367249
53.0,7.0,0.9904058575630188
54.0,7.0,0.9871495366096497
55.0,7.0,0.9849963188171387
56.0,7.0,0.9906585216522217
