frame,sign,prob
1.0,5.0,0.9898853302001953
2.0,5.0,0.9827501773834229
3.0,5.0,0.9767287969589233
4.0,5.0,0.9728743433952332
5.0,5.0,0.9726088047027588
6.0,5.0,0.9677749872207642
7.0,5.0,0.9751564860343933
8.0,5.0,0.9754325747489929
9.0,5.0,0.9730330109596252
10.0,5.0,0.9737528562545776
11.0,5.0,0.976326048374176
12.0,5.0,0.9610894918441772
13.0,5.0,0.9741565585136414
14.0,5.0,0.9762915968894958
15.0,5.0,0.9555337429046631
16.0,5.0,0.961155891418457
17.0,4.0,0.8055244088172913
18.0,6.0,0.9987441301345825
19.0,6.0,0.9994496703147888
20.0,6.0,0.99965500831604
21.0,6.0,0.9996654987335205
22.0,6.0,0.9990234375
23.0,6.0,0.9959831237792969
24.0,7.0,0.7368252873420715
25.0,7.0,0.9342306852340698
26.0,7.0,0.9627668857574463
27.0,7.0,0.9631023406982422
28.0,7.0,0.9631288647651672
29.0,7.0,0.9483098983764648
30.0,7.0,0.9624232649803162
31.0,7.0,0.9782170057296753
32.0,7.0,0.9657054543495178
33.0,7.0,0.9653361439704895
34.0,7.0,0.9610045552253723
35.0,7.0,0.9568963646888733
36.0,7.0,0.956306517124176
37.0,7.0,0.9611339569091797
38.0,7.0,0.9754271507263184
