frame,sign,prob
1.0,5.0,0.7138490080833435
2.0,5.0,0.7401303052902222
3.0,5.0,0.7373846173286438
4.0,5.0,0.6395683288574219
5.0,5.0,0.6575854420661926
6.0,5.0,0.6513932347297668
7.0,5.0,0.6038733720779419
8.0,5.0,0.6196833848953247
9.0,4.0,0.8809991478919983
10.0,6.0,0.9961718916893005
11.0,6.0,0.9995342493057251
12.0,6.0,0.9995612502098083
13.0,6.0,0.9995817542076111
14.0,6.0,0.999612033367157
15.0,6.0,0.9993925094604492
16.0,6.0,0.999518871307373
17.0,6.0,0.9995608925819397
18.0,6.0,0.9991248250007629
19.0,7.0,0.8452640175819397
20.0,7.0,0.9802852869033813
21.0,7.0,0.9760804176330566
22.0,7.0,0.9884323477745056
23.0,7.0,0.9882275462150574
24.0,7.0,0.9880900382995605
25.0,7.0,0.9849783778190613
26.0,7.0,0.9885727167129517
27.0,7.0,0.9825901389122009
28.0,7.0,0.8898587822914124
34.0,5.0,0.29025083780288696
35.0,2.0,0.28980752825737
36.0,5.0,0.3618979752063751
