frame,sign,prob
1.0,5.0,0.9671480655670166
2.0,5.0,0.982428252696991
3.0,5.0,0.9919529557228088
4.0,5.0,0.9911057353019714
5.0,5.0,0.9911476373672485
6.0,5.0,0.9923774003982544
7.0,5.0,0.9921544194221497
8.0,4.0,0.8059114217758179
9.0,6.0,0.9994704127311707
10.0,6.0,0.9991801381111145
11.0,6.0,0.9941348433494568
12.0,7.0,0.8345561027526855
13.0,7.0,0.9760419130325317
14.0,7.0,0.9909436106681824
15.0,7.0,0.9987261891365051
16.0,7.0,0.9913824200630188
17.0,7.0,0.9895003437995911
18.0,7.0,0.9777534008026123
19.0,7.0,0.834965705871582
20.0,7.0,0.9821960926055908
27.0,1.0,0.3328924775123596
