frame,sign,prob
1.0,5.0,0.7981629371643066
2.0,5.0,0.8989880084991455
3.0,5.0,0.7920975089073181
4.0,5.0,0.8057432770729065
5.0,5.0,0.7594069242477417
6.0,4.0,0.8314884901046753
7.0,4.0,0.9479849338531494
8.0,6.0,0.9983760118484497
9.0,6.0,0.9997195601463318
10.0,6.0,0.9997095465660095
11.0,6.0,0.9996069073677063
12.0,6.0,0.9997932314872742
13.0,6.0,0.999743640422821
14.0,6.0,0.999795138835907
15.0,6.0,0.9996457099914551
16.0,6.0,0.9996167421340942
17.0,6.0,0.9998093247413635
18.0,6.0,0.9994012117385864
19.0,6.0,0.9986898303031921
20.0,6.0,0.9987642765045166
21.0,7.0,0.973479151725769
22.0,7.0,0.9928702712059021
23.0,7.0,0.9931855201721191
24.0,7.0,0.9915329813957214
25.0,7.0,0.9868263006210327
26.0,7.0,0.9902010560035706
27.0,7.0,0.992182195186615
28.0,7.0,0.9924072623252869
29.0,7.0,0.9924108982086182
30.0,7.0,0.9928019046783447
31.0,7.0,0.9897200465202332
32.0,7.0,0.9882128834724426
33.0,7.0,0.9921402335166931
34.0,7.0,0.98579341173172
35.0,7.0,0.9845534563064575
36.0,7.0,0.9674902558326721
