frame,sign,prob
1.0,2.0,0.31255730986595154
5.0,5.0,0.842738687992096
6.0,5.0,0.8718945980072021
7.0,5.0,0.8652192950248718
8.0,5.0,0.8385565876960754
9.0,5.0,0.8792747259140015
10.0,4.0,0.549353301525116
11.0,6.0,0.5441476106643677
12.0,6.0,0.9971809387207031
13.0,6.0,0.9992044568061829
14.0,6.0,0.9991801381111145
15.0,6.0,0.9988787770271301
16.0,6.0,0.9989008903503418
17.0,6.0,0.9984574317932129
18.0,7.0,0.7817584276199341
19.0,7.0,0.9848432540893555
20.0,7.0,0.9889335632324219
21.0,7.0,0.9905897378921509
22.0,7.0,0.9916410446166992
23.0,7.0,0.9901140928268433
24.0,7.0,0.9897838234901428
25.0,7.0,0.9903455376625061
26.0,7.0,0.9882763028144836
27.0,7.0,0.9904165267944336
28.0,7.0,0.9901854991912842
29.0,7.0,0.9915384650230408
30.0,7.0,0.9877620935440063
31.0,7.0,0.9765061736106873
