frame,sign,prob
1.0,1.0,0.33272868394851685
2.0,1.0,0.26486337184906006
3.0,7.0,0.3328138589859009
4.0,2.0,0.7700169682502747
6.0,5.0,0.9985617995262146
7.0,5.0,0.9971500039100647
8.0,5.0,0.9900396466255188
9.0,5.0,0.9776580333709717
10.0,5.0,0.9685805439949036
11.0,5.0,0.9201680421829224
12.0,5.0,0.8153730630874634
13.0,5.0,0.8938597440719604
14.0,5.0,0.9020392894744873
15.0,5.0,0.914878785610199
16.0,5.0,0.8988007307052612
17.0,5.0,0.8932169675827026
18.0,5.0,0.837922990322113
19.0,5.0,0.8505787253379822
20.0,5.0,0.8938462138175964
21.0,5.0,0.8480663895606995
22.0,5.0,0.8685497641563416
23.0,5.0,0.8075962662696838
24.0,4.0,0.9305225014686584
25.0,6.0,0.7426681518554688
26.0,6.0,0.9916636943817139
27.0,6.0,0.9963263869285583
28.0,6.0,0.998072624206543
29.0,6.0,0.9934501051902771
30.0,7.0,0.9032588005065918
31.0,7.0,0.995051920413971
32.0,7.0,0.9950928688049316
33.0,7.0,0.994219183921814
34.0,7.0,0.994744062423706
35.0,7.0,0.995253324508667
36.0,7.0,0.9945908784866333
37.0,7.0,0.9959153532981873
38.0,7.0,0.9948558807373047
39.0,7.0,0.995498538017273
40.0,7.0,0.9950157999992371
41.0,7.0,0.9941498041152954
42.0,7.0,0.9947860240936279
43.0,7.0,0.9947512745857239
44.0,7.0,0.994484007358551
45.0,7.0,0.995125949382782
46.0,7.0,0.9957482218742371
