frame,sign,prob
4.0,1.0,0.3709978759288788
7.0,1.0,0.2558344006538391
11.0,5.0,0.611202597618103
12.0,4.0,0.4945700168609619
13.0,5.0,0.498680979013443
14.0,5.0,0.983877420425415
15.0,5.0,0.9932557344436646
16.0,5.0,0.9902363419532776
17.0,5.0,0.9769256114959717
18.0,5.0,0.9684244990348816
19.0,5.0,0.838198721408844
20.0,4.0,0.9690914750099182
21.0,6.0,0.9967862367630005
22.0,6.0,0.9990007281303406
23.0,6.0,0.9992809891700745
24.0,6.0,0.9994564652442932
25.0,6.0,0.9995033740997314
26.0,6.0,0.9992339611053467
27.0,3.0,0.6410365104675293
28.0,7.0,0.9526707530021667
29.0,7.0,0.9732173681259155
30.0,7.0,0.98821622133255
31.0,7.0,0.9747719764709473
32.0,7.0,0.9887908697128296
33.0,7.0,0.9707373976707458
34.0,7.0,0.9842292070388794
35.0,7.0,0.9842295050621033
